
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
<a href = "matlab: helpview('optim','solver_stopped_premature','CSHelpWindow');">Solver stopped prematurely</a>.

lsqnonlin stopped because it exceeded the function evaluation limit,
<a href = "matlab: helpview('optim','max_fun_evals','CSHelpWindow');">options.MaxFunctionEvaluations</a> = 1.500000e+03.

Joint Model Personalization Runtime: 1.644990 Hours

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0         25         0.0280922                             9.11
     1         50         0.0260471      0.00029729             9.58      
     2         75         0.0260471     0.000269032             9.58      
     3        100         0.0249755      6.7258e-05             12.4      
     4        125         0.0249755      6.7258e-05             12.4      
     5        150         0.0249755     1.68145e-05             12.4      
     6        175         0.0249755     4.20362e-06             12.4      
     7        200         0.0249755     1.05091e-06             12.4      
     8        225         0.0249755     2.62727e-07             12.4      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.
lsqnonlin stopped because the <a href = "matlab: helpview('optim','norm_current_step','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit2basic','lsqnonlin'},{'optimlib:snls:Exit2detailed','2.627265e-07','1.000000e-06'},true,true);;">stopping criteria details</a>>
Joint Model Personalization Runtime: 0.235645 Hours
